id,ST_NUM,date1,Id_M,value1
548,1161452485,27/4/2025 00:00:00,13,-2
549,1151619820,27/4/2025 00:00:00,20,-2
550,1161452485,27/4/2025 00:00:00,13,-2
551,1163056672,27/4/2025 00:00:00,13,-2
553,1153638711,27/4/2025 00:00:00,13,-2
554,1163294406,27/4/2025 00:00:00,13,-2
555,1159859394,27/4/2025 00:00:00,13,-2
556,1160570485,28/4/2025 00:00:00,13,-2
558,1151940606,28/4/2025 00:00:00,4,-1
562,1152392328,28/4/2025 00:00:00,13,-2
563,1153880354,28/4/2025 00:00:00,13,-2
564,1154679904,28/4/2025 00:00:00,20,-2
566,1162391096,28/4/2025 00:00:00,13,-2
567,1158913259,28/4/2025 00:00:00,13,-2
568,1161632987,28/4/2025 00:00:00,13,-2
569,1161560436,28/4/2025 00:00:00,13,-2
570,1160723621,28/4/2025 00:00:00,13,-2
571,1162100851,28/4/2025 00:00:00,13,-2
572,1162203952,28/4/2025 00:00:00,13,-2
573,1161156078,28/4/2025 00:00:00,13,-2
574,1152445159,28/4/2025 00:00:00,13,-2
575,1152445159,28/4/2025 00:00:00,16,-2
576,1161918113,28/4/2025 00:00:00,20,-2
577,1160723621,28/4/2025 00:00:00,6,-1
578,1163065137,28/4/2025 00:00:00,13,-2
579,1157678820,28/4/2025 00:00:00,13,-2
580,1157678820,28/4/2025 00:00:00,20,-2
581,1158136125,28/4/2025 00:00:00,3,-1
582,1158136125,28/4/2025 00:00:00,13,-2
583,1152782312,28/4/2025 00:00:00,13,-2
585,1152520381,28/4/2025 00:00:00,8,-1
586,1153191513,28/4/2025 00:00:00,8,-1
587,1156164079,28/4/2025 00:00:00,13,-2
588,1156115667,28/4/2025 00:00:00,13,-2
589,1155394610,28/4/2025 00:00:00,13,-2
590,1156077727,28/4/2025 00:00:00,13,-2
591,1161728488,28/4/2025 00:00:00,13,-2
593,1157678820,28/4/2025 00:00:00,13,-2
594,1157767607,28/4/2025 00:00:00,13,-2
595,1154828246,28/4/2025 00:00:00,13,-2
597,1162600850,28/4/2025 00:00:00,13,-2
598,1162203952,28/4/2025 00:00:00,13,-2
599,1162100851,28/4/2025 00:00:00,13,-2
601,1150557195,29/4/2025 00:00:00,5,-1
602,1161813215,29/4/2025 00:00:00,3,-1
603,1162320673,29/4/2025 00:00:00,4,-1
604,1153090897,29/4/2025 00:00:00,6,-1
605,1150084208,29/4/2025 00:00:00,4,-1
606,1152127039,29/4/2025 00:00:00,4,-1
607,1148534116,29/4/2025 00:00:00,4,-1
608,1152774426,29/4/2025 00:00:00,4,-1
609,1163294406,29/4/2025 00:00:00,8,-1
610,1149867275,29/4/2025 00:00:00,8,-1
611,1152838056,29/4/2025 00:00:00,8,-1
612,1150910477,29/4/2025 00:00:00,8,-1
613,1159625274,29/4/2025 00:00:00,13,-2
614,1159401817,29/4/2025 00:00:00,13,-2
